Station;Maximale;Moyenne;Minimale;Précipitations
Saint-Théophile (forêt);12,8;6,7;0,6;0
Saint-Thomas-de-Caxton;13,1;8,2;3,2;0
Saint-Tite-des-Caps-2;10;1,8;-6,4;0
Saint-Zacharie (forêt);11,6;5,5;-0,7;0
Saint-Zéphirin-de-Courval;17,4;10,1;2,7;3
Salluit SILA;2,3;-1;-4,2;0
Sawyerville (forêt);13,4;9,4;5,4;0
Sawyerville-Nord;13,7;6,9;0;0
Sayabec;4,6;-2;-8,6;0
Scott;10,7;4;-2,7;0
Senneterre;15,9;10,2;4,5;0
Shawinigan - Saint-Marc;9,2;5,3;1,3;0
Shawinigan-2;12,5;7,9;3,2;0
Sherbrooke - Parc Sylvie-Daigle;14,2;9,8;5,3;0
Sorel;8,1;6,6;5;0
Stanstead-Est;10,5;7,5;4,5;3,7
Stoneham - Rés. F. des Laurentides;6,7;1,9;-3;0
Tadoussac;10;3,7;-2,7;0
Tapini-Farm;21,1;12,6;4;0
Témiscaming;17,3;10,8;4,2;0
Thetford-Mines;13,7;7,6;1,4;0
Tingwick;15,6;10,4;5,2;2,7
Trinité-des-Monts;0;0;-7,5;0
Trois-Rivières - Cap-de-la-Madeleine;14,1;9;3,8;0
Trois-Rivières - École MEES;13,5;8,7;3,9;0
Umiujaq - Vallée des Trois (SILA);6,6;0,9;-4,9;0
Val-des-Monts;20,6;11;1,3;0
Val-Paradis;4,2;3,8;3,3;0
Verchères;18,3;11,6;4,8;0
Ville-Marie;12,2;6,6;1;0
Waswanipi;10,2;6,6;3;0
Wright;15,1;7,9;0,6;0
